Name;RAJ2000;DEJ2000;Type1;Type2;mag1;Orb.Per;SpType2;SpType1;Incl;M1;M2
J1051-6127  ;10 51 36.7;-51 27 39;DN;UG;21.0; 0.426916;       ;       ;    ;      ;
V537 Peg    ;22 43 40.7;+30 55 20;DN;  ;16.5; 0.422340;       ;       ;    ;      ;
KO Vel      ;10 15 58.4;-47 58 11;NL;IP;16.7; 0.422000;       ;       ;    ;      ;
Q Cyg       ;21 41 43.9;+42 50 29;Na;  ;14.3; 0.420360;K4-6   ;       ;    ;      ;
0928+5004   ;09 32 14.9;+49 50 54;NL;UX;14.3; 0.418380;       ;       ;    ;      ;
WX Cen      ;13 12 52.5;-63 23 45;NL;SS;13.4; 0.416959;       ;WN3    ;    ;      ;
V1062 Tau   ;05 02 27.5;+24 45 23;NL;IP;15.1; 0.415926;K3-7/5 ;       ;    ;      ;
AE Aqr      ;20 40 09.0;-00 52 16;NL;DQ;10.7; 0.411656;K3/4   ;       ;70.0; 0.630; 0.370
NY Lup      ;15 48 14.6;-45 28 40;NL;IP;14.5; 0.411000;K0-4/5 ;       ;42.0; 0.500; 0.600
J0043+4113  ;00 43 20.0;+41 13 46;N ;IP;21.0; 0.409500;       ;       ;    ;      ;
J1756-2748  ;17 56 07.3;-27 48 48;DN;  ;18.0; 0.397460;       ;       ;    ;      ;
J0527-6954  ;05 27 48.9;-69 54 09;SS;  ;17.9; 0.392600;B5e/5  ;       ;    ;      ;
J0746-1611  ;07 46 17.1;-16 11 28;NL;  ;14.5; 0.391010;K2-6/5 ;       ;    ;      ;
SY Cnc      ;09 01 03.4;+17 53 56;DN;ZC;13.5; 0.382375;G6-K0/5;       ;    ;      ;
J0629-0335  ;06 29 54.6;-03 35 21;DN;  ;    ; 0.380000;       ;       ;    ;      ;
IU Leo      ;10 57 56.3;+09 23 14;DN;UG;15.7; 0.376308;K3-7/5 ;       ;    ;      ;
AT Ara      ;17 30 33.8;-46 05 59;DN;UG;15.3; 0.375500;K2/5   ;       ;38.0; 0.530; 0.420
RU Peg      ;22 14 02.6;+12 42 11;DN;UG;12.5; 0.374600;K5/5   ;       ;43.0; 1.060; 0.960
J0647+4950  ;06 47 29.3;+49 50 27;DN;  ;17.5; 0.371500;       ;       ;    ;      ;
V1375 Cen   ;11 51 13.0;-62 37 29;N?;SS;15.5; 0.360400;       ;       ;    ;      ;
RZ Gru      ;22 47 12.0;-42 44 39;NL;UX;12.3; 0.360000;       ;       ;    ;      ;
J1749-2943  ;17 49 54.6;-29 43 35;NL;QN;19.5; 0.358700;       ;       ;    ;      ;
QZ Aur      ;05 28 34.0;+33 18 23;Na;  ;17.0; 0.357496;G8-K2/5;       ;75.0; 1.050; 1.050
J0939-3226  ;09 39 49.7;-32 26 22;NL;IP;15.7; 0.355000;       ;       ;    ;      ;
J2256-2743  ;22 56 47.8;-27 43 25;DN;  ;16.2; 0.350100;       ;       ;    ;      ;
GY Hya      ;14 30 30.5;-25 52 38;DN;UG;15.1; 0.347237;K4-5/5 ;       ;    ;      ;
V2677 Oph   ;17 39 57.0;-24 47 07;N ;  ;19.8; 0.344300;       ;       ;    ;      ;
CH UMa      ;10 07 00.6;+67 32 47;DN;UG;14.5; 0.343184;K5-9/5 ;       ;21.0; 1.950; 0.960
MU Cen      ;12 12 53.9;-44 28 16;DN;UG;14.9; 0.342000;K3-5/5 ;       ;45.0; 1.200; 0.990
V902 Mon    ;06 27 46.4;+01 48 11;NL;IP;16.0; 0.340083;       ;       ;    ;      ;
BT Mon      ;06 43 47.2;-02 01 15;Na;SW;15.4; 0.333814;G8/5   ;       ;82.3; 1.040; 0.870
V1309 Ori   ;05 15 41.4;+01 04 40;NL;AM;15.5; 0.332612;K6-8/4 ;       ;77.8; 0.700; 0.500
J0838-4831  ;08 38 49.1;-48 31 25;NL;IP;16.6; 0.330000;       ;       ;    ;      ;
J0632+2536  ;06 32 13.1;+25 36 23;DN;  ;17.9; 0.326000;       ;       ;    ;      ;
V392 Hya    ;10 58 56.4;-29 14 41;DN;UG;16.3; 0.324952;K4-6/5 ;       ;    ;      ;
AF Cam      ;03 32 15.6;+58 47 22;DN;UG;17.0; 0.324078;K4-M0/5;       ;    ;      ;
V363 Aur    ;05 33 33.5;+36 59 32;NL;UX;14.2; 0.321242;G5-9/5 ;       ;69.7; 0.900; 1.060
HQ Mon      ;07 11 33.7;+00 52 05;NL;UX;12.8; 0.316000;       ;       ;    ;      ;
V2275 Cyg   ;21 03 02.0;+48 45 53;Na;IP;18.0; 0.314500;       ;       ;    ;      ;
J0345+5335  ;03 45 11.6;+53 35 15;CV;DN;17.8; 0.313900;K4-7/5 ;       ;    ;      ;
V2069 Cyg   ;21 23 44.8;+42 18 02;NL;IP;15.8; 0.311680;       ;       ;    ;      ;
J1836-2354  ;18 36 24.7;-23 54 36;DN;UG;19.0; 0.310000;       ;       ;    ;      ;
V1174 Sgr   ;18 01 37.0;-28 44 19;N ;  ;18.2; 0.309045;       ;       ;    ;      ;
J1413-6520  ;14 13 12.2;-65 20 14;NL;AM;24.3; 0.302000;       ;       ;    ;      ;
RY Ser      ;17 23 07.2;-12 48 09;DN;  ;16.4; 0.300900;K4-6/5 ;       ;    ;      ;
AC Cnc      ;08 44 27.2;+12 52 32;NL;UX;13.5; 0.300478;K1-3/5 ;       ;75.6; 0.760; 0.770
V2274 Cyg   ;20 07 17.9;+36 04 37;Na;  ;20.0; 0.300000;       ;       ;    ;      ;
J0457+4527  ;04 57 08.3;+45 27 50;NL;IP;17.5; 0.300000;       ;       ;    ;      ;
V838 Her    ;18 46 31.5;+12 14 02;Na;  ;19.2; 0.297635;       ;       ;84.0; 0.870; 0.740
J2133+5107  ;21 33 43.7;+51 07 25;NL;IP;14.9; 0.297431;       ;       ;    ;      ;
0218+3229   ;02 21 33.5;+32 43 24;DN;  ;16.2; 0.297230;K5/5   ;       ;59.0; 0.550; 0.340
V792 Cyg    ;19 31 01.0;+33 47 04;DN;UG;17.2; 0.297200;K3-7/5 ;       ;    ;      ;
J1729+2208  ;17 29 51.6;+22 08 08;DN;  ;18.7; 0.297000;       ;       ;    ;      ;
V959 Mon    ;06 39 38.6;+05 53 53;N ;  ;19.7; 0.295850;K3/5   ;       ;82.0;      ;
J1052-6141  ;10 52 11.9;-61 41 14;DN;UG;20.8; 0.293191;       ;       ;    ;      ;
EM Cyg      ;19 38 40.1;+30 30 28;DN;ZC;13.5; 0.290909;K3/5   ;       ;67.0; 1.000; 0.770
Z Cam       ;08 25 13.2;+73 06 39;DN;ZC;12.6; 0.289841;K7/5   ;       ;57.0; 0.990; 0.700
FH Lyn      ;08 13 21.9;+45 28 10;DN;UG;18.3; 0.289000;K5-7/5 ;       ;    ;      ;
J1619+1351  ;16 19 09.1;+13 51 46;DN;UG;19.1; 0.286500;K2-6/5 ;       ;    ;      ;
V1059 Sgr   ;19 01 50.4;-13 09 43;Na;  ;18.1; 0.286100;       ;       ;    ;      ;
V426 Oph    ;18 07 51.7;+05 51 49;DN;ZC;13.5; 0.285300;K5/5   ;       ;59.0; 0.900; 0.700
ST Cha      ;10 47 15.6;-79 28 07;DN;ZC;12.4; 0.285000;       ;       ;    ;      ;
V2540 Oph   ;17 37 34.4;-16 23 18;Nb;  ;21.0; 0.284781;       ;       ;    ;      ;
BY Cir      ;14 44 53.6;-63 53 55;Nb;  ;17.6; 0.281600;       ;       ;    ;      ;
V972 Oph    ;17 34 44.5;-28 10 36;Nb;  ;17.5; 0.281000;       ;       ;    ;      ;
V4743 Sgr   ;19 01 09.3;-22 00 06;Na;  ;16.8; 0.279900;       ;       ;    ;      ;
2347-3144   ;23 50 30.5;-31 27 34;NL;  ;15.2; 0.277000;       ;       ;    ;      ;
J0902-1130  ;09 02 10.2;-11 30 32;DN;  ;18.4; 0.275700;K6-8/5 ;       ;    ;      ;
SS Cyg      ;21 42 42.7;+43 35 10;DN;UG;11.2; 0.275130;K4-5/5 ;       ;51.0; 0.810; 0.550
V587 Lyr    ;19 17 26.5;+37 10 41;DN;UG;17.6; 0.274000;K6-9/5 ;       ;    ;      ;
V2615 Oph   ;17 42 44.0;-23 40 35;Na;  ;19.7; 0.272339;       ;       ;    ;      ;
LY UMa      ;10 48 18.0;+52 18 30;DN;  ;15.1; 0.271278;K5-M0/5;       ;    ;      ;
BF Eri      ;04 39 29.9;-04 35 59;DN;UG;15.3; 0.270880;K2-4/5 ;       ;40.0; 1.280; 0.520
J1039-6255  ;10 39 47.8;-62 55 29;DN;UG;19.0; 0.269960;       ;       ;    ;      ;
J0644+3344  ;06 44 34.4;+33 44 57;NL;SW;13.2; 0.269374;K8/5   ;       ;76.0; 0.660; 0.520
CM Phe      ;00 21 33.1;-51 42 34;NL;  ;15.3; 0.268900;M5/5   ;       ;    ;      ;
TT Crt      ;11 34 47.2;-11 45 30;DN;UG;15.9; 0.268420;K5-M0/5;       ;    ;      ;
EI UMa      ;08 38 22.0;+48 38 02;NL;IP;13.1; 0.268100;       ;       ;    ;      ;
U Leo       ;10 24 03.9;+14 00 26;N ;  ;17.3; 0.267400;       ;       ;    ;      ;
HS Pup      ;07 53 24.9;-31 38 50;Na;  ;18.0; 0.267000;       ;       ;    ;      ;
J1543+7515  ;15 43 36.7;+75 15 41;CV;  ;14.8; 0.265359;       ;       ;    ;      ;
TW Pic      ;05 34 50.7;-58 01 41;NL;VY;14.1; 0.265000;       ;       ;    ;      ;
BV Pup      ;07 49 05.3;-23 34 01;DN;UG;15.6; 0.265000;K3/5   ;       ;    ;      ;
TZ Per      ;02 13 51.0;+58 22 53;DN;ZC;14.7; 0.262906;       ;       ;    ;      ;
NGC 104-W2  ;00 24 15.6;-72 04 36;CV;  ;21.5; 0.262000;       ;       ;    ;      ;
FY Per      ;04 41 56.6;+50 42 36;NL;VY;11.9; 0.258500;       ;       ;    ;      ;
AH Her      ;16 44 10.0;+25 15 02;DN;ZC;13.9; 0.258116;K7/5   ;       ;46.0; 0.950; 0.760
V1425 Aql   ;19 05 26.7;-01 42 14;N ;NL;20.0; 0.255800;       ;       ;    ;      ;
J1931+4559  ;19 31 29.2;+45 59 06;NL;DN;12.2; 0.254400;       ;       ;    ;      ;
J1224-4101  ;12 24 43.3;-41 01 59;DN;UG;19.1; 0.253670;       ;       ;    ;      ;
XY Ari      ;02 56 08.2;+19 26 34;NL;IP;13.1; 0.252697;M0/5   ;       ;82.0; 1.040; 0.620
J1544+2553  ;15 44 53.6;+25 53 49;CV;  ;16.6; 0.251282;M1.5/5 ;       ;81.0;      ;
RU LMi      ;10 02 07.5;+33 51 00;DN;UG;17.8; 0.251000;       ;       ;    ;      ;
LL Lyr      ;18 35 12.9;+38 20 04;DN;UG;17.1; 0.249069;M1-4/5 ;       ;    ;      ;
V1039 Cen   ;13 55 41.2;-64 15 57;Na;IP;20.8; 0.247000;       ;       ;    ;      ;
PQ Aql      ;19 53 06.6;+12 59 01;DN;UG;18.0; 0.246750;M1-3/5 ;       ;    ;      ;
J1509-6649  ;15 09 26.0;-66 49 23;NL;IP;14.5; 0.245400;       ;       ;    ;      ;
RW Sex      ;10 19 56.6;-08 41 56;NL;UX; 9.9; 0.245070;K5/5   ;       ;34.0; 0.900; 0.674
M 5-V101    ;15 18 14.5;+02 05 35;DN;UG;20.7; 0.242000;       ;       ;55.0;      ;
NGC 104-W1  ;00 24 16.7;-72 04 27;CV;  ;20.1; 0.240500;       ;       ;    ;      ;
AH Eri      ;04 22 38.1;-13 21 30;DN;UG;17.7; 0.239100;M3-5/5 ;       ;    ;      ;
V3037 Oph   ;17 40 16.1;-29 03 38;NL;IP;19.1; 0.238400;       ;       ;    ;      ;
TX Col      ;05 43 20.2;-41 01 55;NL;IP;14.5; 0.238300;M0-1/5 ;       ;    ; 0.540;
J0518+2941  ;05 18 14.3;+29 41 13;NL;  ;15.0; 0.238300;       ;       ;    ;      ;
AG Hya      ;09 50 29.8;-23 45 17;DN;UG;19.2; 0.238000;       ;       ;    ;      ;
J0742-1049  ;07 42 08.2;-10 49 32;  ;  ;16.5; 0.237800;K9-M1/5;       ;    ;      ;
J1744-2603  ;17 44 44.8;-26 03 30;DN;  ;17.0; 0.237089;K5/5   ;       ;32.3; 0.800; 0.600
NGC 6397-CV6;17 40 49.0;-53 39 49;  ;  ;19.3; 0.235196;       ;       ;    ;      ;
DO Leo      ;10 40 51.2;+15 11 34;NL;  ;16.5; 0.234515;       ;       ;    ;      ;
V344 Ori    ;06 15 19.0;+15 31 00;DN;UG;18.0; 0.234000;M2-4/5 ;       ;    ;      ;
V667 Pup    ;07 32 37.7;-13 31 08;NL;IP;15.7; 0.233800;       ;       ;    ;      ;
VY Scl      ;23 29 00.5;-29 46 46;NL;VY;12.1; 0.232300;       ;       ;30.0; 1.220; 0.430
V347 Pup    ;06 10 33.6;-48 44 26;NL;SW;13.4; 0.231936;M0.5/5 ;       ;84.0; 0.630; 0.520
RW Tri      ;02 25 36.1;+28 05 51;NL;UX;12.5; 0.231883;M0/5   ;       ;70.5; 0.550; 0.350
WX Pyx      ;08 33 05.8;-22 48 33;NL;IP;16.7; 0.230700;       ;       ;    ;      ;
J0805+0720  ;08 05 34.5;+07 20 29;CV;  ;17.8; 0.229000;K2-6V  ;       ;    ;      ;
J2256+5954  ;22 56 08.4;+59 54 30;NL;UX;14.3; 0.228606;       ;       ;78.8;      ;
TV Col      ;05 29 25.4;-32 49 05;NL;IP;13.5; 0.228600;K1-5/5 ;       ;70.0; 0.750; 0.560
V705 Cas    ;23 41 47.3;+57 31 00;Na;  ;17.0; 0.228000;       ;       ;    ;      ;
V365 Car    ;11 03 15.9;-58 27 26;Nb;  ;18.1; 0.225000;       ;       ;    ;      ;
J1753-2917  ;17 53 18.7;-29 17 17;DN;SH;19.0; 0.224980;       ;       ;    ;      ;
J1830-1232  ;18 30 49.9;-12 32 19;NL;IP;17.9; 0.223900;       ;       ;    ; 0.850;
EZ Del      ;20 25 22.9;+15 45 58;DN;UG;14.5; 0.223400;M1-2/5 ;       ;    ;      ;
V709 Cas    ;00 28 48.9;+59 17 22;NL;IP;14.1; 0.222204;       ;       ;    ; 0.900;
DM Cap      ;21 54 11.1;-09 01 22;CV;  ;19.2; 0.221500;       ;       ;    ;      ;
CN Vel      ;11 02 38.7;-54 23 10;Na;  ;17.8; 0.220000;       ;       ;    ;      ;
NGC 104-W120;00 24 10.8;-72 06 20;CV;  ;22.7; 0.220000;       ;       ;    ;      ;
NR TrA      ;16 18 48.2;-60 27 49;N ;  ;19.0; 0.219000;       ;       ;    ;      ;
N LMC 1995  ;05 26 50.3;-70 01 24;N ;EG;19.6; 0.219000;       ;       ;    ;      ;
CZ Ori      ;06 16 43.2;+15 24 12;DN;UG;16.3; 0.218900;M1-3/5 ;       ;    ;      ;
FO Aql      ;19 16 38.2;+00 07 37;DN;UG;18.0; 0.217735;M1-4/5 ;       ;    ;      ;
AY Psc      ;01 36 55.4;+07 16 30;DN;ZC;15.3; 0.217321;       ;       ;    ;      ;
V513 Cas    ;00 18 14.9;+66 18 14;DN;ZC;18.0; 0.217000;       ;       ;    ;      ;
HL CMa      ;06 45 17.2;-16 51 35;DN;ZC;13.2; 0.216787;       ;       ;45.0; 1.000; 0.450
PQ Gem      ;07 51 17.4;+14 44 25;NL;IP;14.0; 0.216359;       ;       ;    ;      ;
AR Cnc      ;09 22 07.5;+31 03 15;DN;UG;18.7; 0.214600;M4-6/5 ;       ;    ;      ;
V5588 Sgr   ;18 10 21.4;-23 05 30;Na;  ;17.7; 0.214320;       ;       ;    ;      ;
HR Del      ;20 42 20.4;+19 09 40;Nb;  ;11.9; 0.214165;       ;       ;40.0; 0.670; 0.550
AR Cir      ;14 48 09.2;-60 00 25;Nb;  ;17.6; 0.214000;       ;       ;    ;      ;
PW Vul      ;19 26 05.1;+27 21 59;Na;  ;17.5; 0.213700;       ;       ;    ;      ;
AP Cru      ;12 31 20.6;-64 26 25;N ;IP;17.7; 0.213000;K7     ;       ;    ;      ;
HZ Pup      ;08 03 22.8;-28 28 29;Na;NL;17.2; 0.213000;       ;       ;    ;      ;
NGC 6752-CV1;19 10 52.1;-59 58 01;GC;  ;17.0; 0.213000;       ;       ;    ;      ;
J1759-2624  ;17 59 11.7;-26 24 40;DN;  ;18.6; 0.211945;       ;       ;    ;      ;
EX Dra      ;18 04 14.1;+67 54 12;DN;UG;15.3; 0.209937;M1-3/5 ;       ;84.2; 0.750; 0.560
RX And      ;01 04 35.6;+41 17 58;DN;ZC;14.0; 0.209893;K5/5   ;       ;51.0; 1.140; 0.480
J0816+4530  ;08 16 10.8;+45 30 10;DN;  ;19.2; 0.209600;       ;       ;    ;      ;
J0900+4301  ;09 00 16.6;+43 01 18;DN;  ;18.9; 0.209370;       ;       ;    ;      ;
J1616-4958  ;16 16 37.8;-49 58 45;NL;IP;16.3; 0.208500;       ;       ;    ;      ;
2205+0201   ;22 08 07.5;+02 16 20;  ;  ;16.4; 0.208000;       ;       ;    ;      ;
V4745 Sgr   ;18 40 02.6;-33 26 56;Nb;IP;17.0; 0.207820;       ;       ;    ;      ;
TW Tri      ;01 36 37.0;+32 00 40;DN;UG;17.0; 0.207584;M1/5   ;       ;    ;      ;
V617 Sgr    ;18 07 50.9;-35 10 25;NL;SS;13.6; 0.207166;WN3-5  ;       ;    ;      ;
V3885 Sgr   ;19 47 40.5;-42 00 26;NL;UX; 9.6; 0.207161;       ;       ;    ;      ;
V446 Her    ;18 57 21.6;+13 14 29;Na;DN;17.6; 0.207000;       ;       ;    ;      ;
V495 Hya    ;08 44 00.1;+02 39 19;DN;  ;18.3; 0.207000;M1-4/5 ;       ;    ;      ;
V825 Her    ;17 18 37.0;+41 15 51;NL;  ;14.1; 0.206000;       ;       ;    ;      ;
J0808+3131  ;08 08 46.2;+31 31 06;DN;UG;19.4; 0.205900;       ;       ;    ;      ;
J0911+0841  ;09 11 27.4;+08 41 41;DN;  ;19.7; 0.205400;M2/5   ;       ;    ;      ;
T Aur       ;05 31 59.1;+30 26 45;Nb;  ;14.9; 0.204378;       ;       ;57.0; 0.680; 0.630
J2138+2638  ;21 38 05.0;+26 38 20;DN;UG;17.8; 0.202200;K2-6/5 ;       ;    ;      ;
FO Aqr      ;22 17 55.4;-08 21 05;NL;IP;12.7; 0.202060;       ;       ;70.0;      ;
AT Cnc      ;08 28 36.9;+25 20 03;DN;ZC;15.3; 0.201100;K7-M0/5;       ;    ;      ;
HX Peg      ;23 40 23.7;+12 37 42;DN;ZC;15.8; 0.200800;K/6    ;       ;    ;      ;
CZ Aql      ;19 19 58.2;-07 10 55;DN;NL;14.6; 0.200500;       ;       ;    ;      ;
V895 Cen    ;14 29 27.2;-38 04 10;NL;AM;16.5; 0.198553;       ;       ;80.0;      ;
V345 Pav    ;19 35 43.0;-59 08 22;NL;UX;13.4; 0.198096;       ;       ;    ;      ;
J1822-2956  ;18 22 16.2;-29 56 40;DN;  ;18.4; 0.197797;       ;       ;    ;      ;
MU Cam      ;06 25 16.2;+73 34 40;NL;IP;14.4; 0.196854;       ;       ;    ;      ;
UX UMa      ;13 36 41.0;+51 54 50;NL;UX;12.5; 0.196671;M0-4/5 ;       ;70.0; 0.900; 0.390
V433 Ara    ;17 00 06.1;-57 51 52;NL;VY;16.8; 0.195730;       ;       ;    ;      ;
LS IV -08 3 ;16 56 29.6;-08 34 39;NL;UX;11.5; 0.195289;       ;       ;    ;      ;
V363 Lyr    ;19 08 51.6;+43 00 32;DN;UG;19.5; 0.195000;       ;       ;    ;      ;
CT Ser      ;15 45 39.1;+14 22 33;N ;  ;16.3; 0.195000;       ;       ;    ;      ;
NGC 104-CV3 ;00 24 06.2;-72 04 43;NL;AM;23.1; 0.194490;       ;       ;    ;      ;
2325+8205   ;23 26 50.5;+82 22 11;DN;ZC;16.4; 0.194335;M2-4/5 ;       ;    ;      ;
J1814-2847  ;18 14 33.0;-28 47 35;NL;UX;19.5; 0.194257;       ;       ;    ;      ;
IX Vel      ;08 15 18.9;-49 13 18;NL;UX; 9.0; 0.193927;       ;       ;57.0; 0.820; 0.530
DQ Her      ;18 07 30.4;+45 51 32;Na;DQ;14.2; 0.193621;M3/5   ;       ;89.7; 0.600; 0.400
J0107+4845  ;01 07 42.8;+48 45 19;NL;SW;14.9; 0.193598;       ;       ;82.4;      ;
AI Tri      ;02 03 48.6;+29 59 26;NL;AM;14.7; 0.191746;M2.5/5 ;       ;    ;      ;
V825 Sco    ;17 49 53.8;-33 32 13;N ;  ;17.8; 0.191659;       ;       ;    ;      ;
BI Ori      ;05 23 51.8;+01 00 30;DN;UG;17.0; 0.191500;       ;       ;    ;      ;
J1745-3746  ;17 45 15.6;-37 46 28;NL;UX;18.9; 0.189915;       ;       ;    ;      ;
V416 Dra    ;18 57 20.4;+71 31 19;DN;UG;17.2; 0.189109;       ;       ;    ;      ;
CG Dra      ;19 07 32.8;+52 58 29;DN;UG;17.4; 0.188640;K5-7/5 ;       ;    ;      ;
V539 Vel    ;09 44 09.4;-56 17 11;NL;SW;17.5; 0.187934;       ;       ;    ;      ;
V697 Sco    ;17 51 21.8;-37 24 55;Na;IP;20.0; 0.187000;       ;       ;    ;      ;
HM Leo      ;09 38 37.0;+07 14 55;DN;  ;17.5; 0.186800;M2-4/5 ;       ;    ;      ;
J2047+0000  ;20 47 20.8;+00 00 08;CV;DN;20.0; 0.186444;       ;       ;    ;      ;
J1006+2337  ;10 06 58.4;+23 37 24;DN;UG;18.5; 0.185913;M3/5   ;       ;81.3; 0.780; 0.400
HH Cnc      ;09 16 50.7;+28 49 43;DN;UG;19.5; 0.184500;M2-4/5 ;       ;    ;      ;
HY Leo      ;09 46 34.5;+13 50 58;NL;IP;15.8; 0.184160;       ;       ;    ;      ;
V1323 Her   ;18 03 39.7;+40 12 21;NL;IP;17.0; 0.183400;       ;       ;    ;      ;
J0649-0737  ;06 49 50.8;-07 37 41;NL;AM;18.0; 0.183000;       ;       ;    ;      ;
